t E e M
s erg erg g
3802.25588709064 1.4207214171759115e+51 6.1568299041329725e+50 1.9902670341511465e+33
3811.14586476647 1.4211899684525844e+51 6.156177454220662e+50 1.9902662442406714e+33
3819.96000544647 1.4216444169892809e+51 6.155357827300743e+50 1.990265465745894e+33
3828.7264526327 1.422093936108519e+51 6.154036688664108e+50 1.990264696538371e+33
3837.46227268204 1.4225457749572831e+51 6.153220533584191e+50 1.990263935624473e+33
3846.17851728312 1.4229929270949037e+51 6.152789435975605e+50 1.9902631822581344e+33
3854.89191040559 1.423433938804907e+51 6.151556200064665e+50 1.990262435927644e+33
3863.67047386354 1.4238803177666244e+51 6.150275264094006e+50 1.9902616920358804e+33
3872.50931655512 1.4243296250997236e+51 6.14935659809561e+50 1.9902609507323762e+33
3881.28592638395 1.4247652313682744e+51 6.148365757455988e+50 1.990260222529653e+33
3890.00791741573 1.4251994695907069e+51 6.147311274937357e+50 1.9902595077601134e+33
3898.62551520006 1.4256324836168606e+51 6.146209265992972e+50 1.9902588126505146e+33
3907.10735437621 1.4260487060096915e+51 6.145434128664729e+50 1.9902581428510834e+33
3915.49392047187 1.4264567748300938e+51 6.144708720664298e+50 1.9902574536771536e+33
3923.78782760584 1.4268659578044515e+51 6.1438355344898e+50 1.9902567545269373e+33
3931.96516014836 1.4272668728576845e+51 6.1430933321414435e+50 1.9902560601031884e+33
3940.0533110365 1.4276529670780385e+51 6.142435251423158e+50 1.9902553705289458e+33
3948.07696682039 1.428040961661143e+51 6.141668573560823e+50 1.9902546875748514e+33
3956.05201451478 1.4284309199104558e+51 6.141067310704481e+50 1.9902540078818763e+33
3963.98618492645 1.4288067539902666e+51 6.140458247085707e+50 1.990253332412683e+33
3971.86122152884 1.4291784849734167e+51 6.139647721782883e+50 1.990252662795424e+33
3979.67584152726 1.4295549684572992e+51 6.138939355356704e+50 1.9902519993617857e+33
3987.44096978216 1.429924341017077e+51 6.138446067532012e+50 1.9902513413111196e+33
3995.16136003666 1.430279749589299e+51 6.137762784696472e+50 1.9902506882544845e+33
4002.82616143212 1.4306409683492054e+51 6.136911851492663e+50 1.9902500414882252e+33
4010.43488414729 1.4310047144664046e+51 6.1363245125934005e+50 1.9902494008488795e+33
4017.9941669966 1.4313485349745933e+51 6.135700278859641e+50 1.9902487660896362e+33
4025.49800420111 1.4316921822343669e+51 6.134855509158359e+50 1.9902481379340903e+33
4032.94929775439 1.4320447883185233e+51 6.134100371727657e+50 1.990247516209593e+33
4040.36284829517 1.4323864433734593e+51 6.1335102833832565e+50 1.9902468997276668e+33
4047.73161875002 1.4327123044886925e+51 6.1327726764196325e+50 1.990246289089546e+33
4055.05125321665 1.4330501736711697e+51 6.131986615465774e+50 1.9902456843782666e+33
4062.33463595682 1.433393392123303e+51 6.131584635261429e+50 1.9902450843965973e+33
4069.57320431393 1.4337073664668566e+51 6.13104174459227e+50 1.9902444899379263e+33
4076.76395017149 1.4340265186316658e+51 6.1300600229654194e+50 1.9902439013786751e+33
4083.92565259613 1.4343622225878907e+51 6.1294209312948864e+50 1.9902433169920233e+33
4091.05457949287 1.4346803219018764e+51 6.128925805865841e+50 1.9902427371996887e+33
4098.14006613141 1.4349790821652096e+51 6.128082791744883e+50 1.990242162883566e+33
4105.18390479048 1.4352970789439921e+51 6.127084002531209e+50 1.990241593974739e+33
4112.21401116166 1.4356295761263769e+51 6.126465852701862e+50 1.990241028546665e+33
4119.20297525263 1.4359156072150205e+51 6.125789637709917e+50 1.9902404697623118e+33
